post_title,post_content,post_status,featured_image,acf_price,acf_abv,acf_size,acf_supplier_name,acf_buy_url,acf_tier,tax_drink_type,tax_district,tax_origin
Clase Azul Ultra,"Extra-anejo aged for five years in a combination of fine wine, American whiskey, and Sherry casks. Presented in a limited-edition porcelain decanter adorned with 24k gold.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-ultra.webp,"HK$29,888",40%,700ml,HK Drinks,,featured,Tequila,Central,Mexico
Clase Azul Durango Mezcal,"An artisanal mezcal from Durango. Smoky and complex with notes of roasted agave, green herbs, and mineral earthiness from the Cenizo agave.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-durango.webp,"HK$4,498",42%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Mezcal,Central,Mexico
Clase Azul Guerrero Mezcal,"A wild-harvested mezcal from Guerrero made with papalote agave. Bold smoke, wild honey, tropical fruit, and a distinctive earthy minerality.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-guerrero.webp,"HK$4,498",43%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Mezcal,Central,Mexico
Clase Azul San Luis Potosi Mezcal,"Crafted with Salmiana agave from the high plateau. Herbaceous and elegant with a signature green pepper note, citrus, and gentle smoke.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-slp.webp,"HK$4,998",42%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Mezcal,Central,Mexico
Clase Azul Ahumado,"A smoked expression using volcanic stone pit-roasted agave. Intense campfire smoke, dark fruits, and a savory, peppery finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-ahumado.webp,"HK$3,898",43%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Mezcal,Central,Mexico
Clase Azul Spirit of Champions,A limited-edition extra-anejo celebrating global champions. Aged five years in select oak casks with a stunning hand-painted ceramic decanter in Deep Amethyst.,publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/clase-azul-spirit-of-champions.webp,"HK$17,998",40%,700ml,HK Drinks,,featured,Tequila,Central,Mexico
Alfred GIRAUD Heritage 700ml,"A San Maroma single-cask release from the house of Alfred GIRAUD. Matured in French oak, offering layers of tropical fruit, vanilla, milk chocolate and a whisper of smoke.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/alfred-giraud-heritage.webp,"HK$1,668",42%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Whisky,Central,Mexico
Alfred GIRAUD Harmonie 700ml,"A refined blend aged in French Cognac casks. Delicate floral notes lead into honeyed stone fruit, toasted almond, and a silky, lingering finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/alfred-giraud-harmonie.webp,"HK$2,578",42%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Whisky,Central,Mexico
Alfred GIRAUD Voyage 700ml,"Finished in Sauternes wine casks for an exotic sweetness. Apricot, honeycomb, gingerbread, and a touch of white pepper make this an adventurous pour.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/alfred-giraud-voyage.webp,"HK$2,588",42%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Whisky,Central,Mexico
Alfred GIRAUD Intrigue 700ml,"A limited-release finished in Pedro Ximenez Sherry casks. Dark and decadent with fig, raisin, dark chocolate, roasted coffee, and a seductive finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/alfred-giraud-intrigue.webp,"HK$4,718",45%,700ml,HK Drinks,,featured,Whisky,Central,Mexico
Alfred GIRAUD Horizon 700ml,"A double-matured tequila finished in Cognac French oak. Balanced and approachable with creamy vanilla, dried pear, almond croissant, and gentle baking spices.",publish,assets/images/whisky-bar.jpg,"HK$1,768",42%,700ml,HK Drinks,https://www.hkdrinks.shop/,enhanced,Whisky,Central,Mexico
Alfred GIRAUD Une Odyssee 700ml,"The flagship extra-anejo from Alfred GIRAUD aged 42 months in new French oak. An olfactory journey with dark berry compote, cocoa, leather, candied orange peel, and an epic finish.",publish,https://res.cloudinary.com/rqokncht/image/upload/v1785328721/drinks/alfred-giraud-une-odyssee.webp,"HK$24,988",45%,700ml,HK Drinks,,featured,Whisky,Central,Mexico
Nikka From The Barrel,"A well-balanced blended whisky from Nikka. Rye and malt combine for a rich, spicy profile with hints of vanilla, oak, and dried fruit.",publish,,HK$698,43%,700ml,Watson's Wine,,standard,Whisky,Central,Japan
