post_title,post_content,post_status,featured_image,acf_phone,acf_website,acf_booking,acf_price_band,acf_rating,acf_signature,acf_tier,tax_venue_type,tax_district
Franks,,publish,,+852 2803 8011,,,$$$,,,standard,Pizza & Wine,Wan Chai
The Savory Project,,publish,,+852 2881 1977,,,$$$,,,standard,Cocktail Bar,Wan Chai
The Sea by The Old Man,,publish,,+852 3480 1838,,,$$$,,,standard,Cocktail Bar,Tsim Sha Tsui
The Green Door,,publish,,+852 2628 9978,,,$$$,,,standard,Speakeasy,Wan Chai
Camden Town Brewery Taproom,,publish,,+852 2311 5010,,,$$$,,,standard,Craft Beer,Central
Drift Bar,,publish,,+852 2292 2888,,,$$$,,,standard,Beach Bar,Repulse Bay
The Envoy,,publish,,+852 2825 4000,,,$$$,,,standard,Hotel Bar,Admiralty
Magistracy Dining Room Bar,,publish,,+852 2252 3177,,,$$$,,,standard,Restaurant Bar,Central
Barkada,,publish,,+852 2555 0334,,,$$$,,,standard,Filipino Bar,Central
Aeris,,publish,,+852 2682 8821,,,$$$,,,standard,Sky Bar,Mong Kok
La Rambla Terrace,,publish,,+852 2661 1161,,,$$$,,,standard,Spanish Bar,IFC
Cruise Restaurant & Bar,,publish,,+852 3896 9896,,,$$$,,,standard,Rooftop Bar,North Point
Feather Boa,,publish,,+852 2525 2500,,,$$$,,,standard,Cocktail Bar,Central
Cicada,,publish,,+852 2891 0123,,,$$$,,,standard,Natural Wine,Sai Ying Pun
Sippin’ Lounge,,publish,,+852 2468 9002,,,$$$,,,standard,Whisky Bar,Causeway Bay
Lane Eight,,publish,,+852 2557 4012,,,$$$,,,standard,Tapas & Wine,Kennedy Town
The Matchroom,,publish,,+852 2712 3345,,,$$$,,,standard,Sports Bar,Tsim Sha Tsui
Junels,,publish,,+852 2915 1188,,,$$$,,,standard,Champagne Bar,Soho
Hush,,publish,,+852 2791 6631,,,$$$,,,standard,Seaside Bar,Sai Kung
